data_source,feature_description,feature_name,product_line,referrer_url,url
html,"Collaborate in docs, sheets, and slides, each with built-in chat. Discuss, revise, and finalize decisions in one place.","Unlimited Documents, Spreadsheets, and Slides",Quip,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/quip/
html,"Chat is built into every document, so it’s easy to discuss, revise, and reach a final decision in one place.",Group Chat and 1-to-1 Messages,Quip,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/quip/
html,"Award-winning mobile apps on Android and iOS keep your team members together, no matter where they are.","Desktop, Tablet, and Mobile Access",Quip,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/quip/
html,Customize Quip with our Live Apps and automation APIs for use by the entire organization to work directly with internal tools and processes.,Enterprise API and Customization,Quip,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/quip/
html,Deploy and manage custom Live Apps for your entire organization to access and use.,Deploy Custom Live Apps,Quip,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/quip/
html,Make quick and official associations between Quip documents and records with the Quip Component in Salesforce.,Link Quip Documents to Salesforce Records,Quip,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/quip/
html,Open Salesforce reports in a Quip spreadsheet with a single click. The data is always up to date and ready for discussion.,Spreadsheets with Live Salesforce Data,Quip,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/quip/
html,"Embed, update, and discuss live data from Salesforce Lists and Records from any Quip document.",2-Way Sync with Live Salesforce Data,Quip,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/quip/
html,"The Quip Document Component lets you work on Quip docs, sheets, and slides within any object in Salesforce.",Embed Quip Documents in All Salesforce Objects,Quip,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/quip/
html,Design APIs using a web-based interface.,API Designer,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,Build integrations graphically or with a powerful developer IDE.,Integration Builder,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,"Manage and monitor applications from a single interface, whether on-premises or in the cloud.",Application Management and Monitoring,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,Help developers understand how to use your API by sharing docs and more.,Unlimited API Portals,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,Build apps using your company's custom data.,Custom Objects,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,"Track, filter, and qualify new prospective customers.",Lead Management,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,"Discover and share reusable templates, examples, APIs, connectors, and API fragments.",Asset Collaboration and Reuse,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,"Integrate with Salesforce, Workday, and more using prebuilt connectors.",Unlimited Select and Community Connectors,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,Ensure up to 99.99% uptime and zero message loss for APIs and integrations.,High Availability,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,Automate and manage any business process with a point-and-click Process Builder tool.,Lightning Flow Automation (Flow + Process Builder),Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,"Automate workflow tasks, email alerts, automatic field updates, and much more. Set up simple or sophisticated approval automation for virtually any process.",Workflow and Approval,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Build apps visually using a library of prebuilt and custom components in this drag-and-drop environment.,Lightning App Builder,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Route hot leads to the right reps and view the impact of your marketing activities on your sales pipeline.,Lead Assignment and Routing,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,"Improve CRM data quality by preventing duplicates, so data is more usable, reliable, and relevant.",Duplicate Blocking,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,Create suborganizations under your primary Anypoint Platform organization.,Suborganizations,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,"Integrate with Okta, Ping Identity, and other identity technologies.",Integration with External Identity Technologies,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,Move runtimes between on-premises and the cloud.,Flexible Hybrid Deployment,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,"Install prebuilt apps, flows, and components from AppExchange to accelerate time to market.",AppExchange,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,"Give developers the tools to code, manage, and deploy reusable custom components.",Component Framework,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,"Connect external systems and data to Salesforce using web services APIs, including REST, SOAP, and more.",Web Services API,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Route hot leads to the right reps and view the impact of your marketing activities on your sales pipeline.,Lead Assignment and Routing,Sales and Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-and-service-cloud/
html,Collaborate throughout your company and with outside parties.,Chatter,Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,Generate leads with the prospecting data from your company’s website visitors.,Web-to-Lead Capture,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,Create targeted email lists for events. Provide updates and more for your prospects and customers. Automatically track which leads or contacts received emails.,Mass Email,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,"Deploy to data centers in North and South America, Europe, Asia, and Australia.",Global Multicloud Deployment,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,Deploy and orchestrate runtimes on your private cloud and on-premises.,Container Services,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,"Get a visual map of dependencies for each application, API, and integration.",Visual Dependency Mapping,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,Single sign-on for all your enterprise apps lets you easily connect to your existing directory to manage users and control access.,Identity for Employees,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Enable near real-time integration with event-driven architecture.,Platform Events,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Build native iOS and Android apps with a modern mobile software development kit.,Mobile SDK,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,"Improve CRM data quality by preventing duplicates, so data is more usable, reliable, and relevant.",Duplicate Blocking,Sales and Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-and-service-cloud/
html,"Run your business from your phone — collaborate with your team, close deals, service customers, and deliver personalized marketing from anywhere.",Salesforce Mobile App,Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,Share and collaborate on key files relevant to each deal.,Files,Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,Manage and track marketing campaigns across all channels. Make more informed decisions and see their impact on your sales pipeline.,Campaign Management,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,Aggregate and search log data to quickly investigate failures and identify causes.,Log Management,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,"Run your business from your phone — collaborate with your team, close deals, service customers, and deliver personalized marketing from anywhere.",Salesforce Mobile App,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Detect your merchandise on shelf.,Einstein Planogram Predictions,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,"Get access to out-of-the-box industry standard objects built directly on Platform that model financial accounts, assets, liabilities, and financial life goals for individual clients and entire households.",B2C and B2B Data Model,Financial Services Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/financial-services-cloud/
html,"Leverage an out-of-the-box, customizable, and extensible data model for manufacturing organizations built directly on the Salesforce platform.",Manufacturing Sales Data Models,Manufacturing Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/manufacturing-cloud/
html,Generate leads with the prospecting data from your company’s website visitors.,Web-to-Lead Capture,Sales and Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-and-service-cloud/
html,Easily personalize your team’s sales milestones with a sales path.,Customizable Sales Process,Sales and Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-and-service-cloud/
html,Automatically get the most up-to-date content and recommendations on what to follow and join.,Topics and Recommendations,Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,N/A,Case Auto-Assignment,Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,Create form emails to communicate consistently with customers and prospects.,Email Templates,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,Configure business rules to determine how engaged a prospect is with your brand.,Rules-Based Lead Scoring,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,Secure sensitive log data with format-preserving encryption and vaultless tokenization.,Log Tokenization,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,Define how long you keep your data and where it is stored.,Hyperscale Log Data Storage,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,Collaborate throughout your company and with outside parties.,Chatter,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Share and collaborate on key files relevant to each deal.,Files,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Build and brand a new digital experience with a WYSIWYG interface. Choose from prebuilt or create custom components.,Lightning Community Builder,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
